org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
ESMValGroup,ESMValTool,0.19,13,40344,3.2222882E-4,3491000,663000,0.18991692,,,,3.25,40344.0,8.0557205E-5
mapbox,mapbox-android-demo,0.19,4,40344,9.9147335E-5,3464000,663000,0.19139723,,,,4.0,40344.0,9.9147335E-5
github,hub,0.19,,,,3501000,663000,0.18937446,,,,,,
terraform-providers,terraform-provider-openstack,0.19,,,,3509000,663000,0.18894272,,,,,,
antigenomics,vdjdb-db,0.19,,,,3497000,663000,0.18959108,,,,,,
kongzue,DialogV3,0.19,2,40344,4.9573668E-5,3504000,663000,0.18921232,,,,2.0,40344.0,4.9573668E-5
youzan,vant-weapp,0.19,6,40344,1.48721E-4,3524000,663000,0.18813848,10000,0,0.0,6.0,40344.0,1.48721E-4
SavandBros,gonevis-dash-2,0.19,2,40344,4.9573668E-5,3556000,663000,0.18644544,,,,2.0,40344.0,4.9573668E-5
INCATools,ontology-development-kit,0.19,1,40344,2.4786834E-5,3565000,663000,0.18597476,,,,1.0,40344.0,2.4786834E-5
teamforus,forus,0.19,,,,3550000,663000,0.18676056,,,,,,
ESMValGroup,ESMValCore,0.19,6,40344,1.48721E-4,3442000,663000,0.19262058,,,,6.0,40344.0,1.48721E-4
django,channels,0.19,,,,3530000,663000,0.18781869,,,,,,
LinusU,node-cachedir,0.19,,,,3565000,663000,0.18597476,,,,,,
barbagroup,FMM_tutorial,0.19,,,,3554000,663000,0.18655036,,,,,,
baumannzone,browser-apis,0.19,,,,3529000,663000,0.18787192,,,,,,
dtornqvist,icm-20948-arduino-library,0.19,,,,3527000,663000,0.18797845,,,,,,
bcomnes,goref,0.19,,,,3519000,663000,0.1884058,,,,,,
s0521,s0521.github.io,0.19,,,,3487250,663000,0.19012116,,,,,,
colorsforkids,Colorsforkids,0.19,,,,3507000,663000,0.18905047,,,,,,
sampritipanda,securimage_solver,0.19,,,,3507000,663000,0.18905047,,,,,,
FrozenRhymes,Frozenn-Rhymes,0.19,,,,3503000,663000,0.18926634,,,,,,
wy1iu,sphereface,0.19,,,,3500000,663000,0.18942857,,,,,,
dataabc,weiboSpider,0.19,,,,3498000,663000,0.18953688,,,,,,
